id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,company
990537813,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD83,Amazon IAD83,156166.0,-77.52310750749479,38.947946059437584,building,amazon
990537821,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD93,Amazon Web Services,16739.0,-77.52218796260958,38.946539218555614,building,amazon
990537857,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD122,Amazon IAD122,153273.0,-77.49717993007393,38.955863227653474,building,amazon
996723587,Virginia,VA,51,Prince William County,153,Amazon IAD96,IAD96,Amazon Web Services,149064.0,-77.53988381836808,38.78015146527289,building,amazon
996723588,Virginia,VA,51,Prince William County,153,Amazon IAD95,IAD95,Amazon Web Services,214748.0,-77.53942706487335,38.77845091390774,building,amazon
996723589,Virginia,VA,51,Prince William County,153,Amazon IAD75,IAD75,Amazon Web Services,214662.0,-77.54289591312165,38.77934250130272,building,amazon
996899486,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD102,Amazon IAD102,214338.0,-77.50490133103251,38.73597010187111,building,amazon
996899487,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD101,Amazon IAD101,214330.0,-77.50569511718139,38.735440154226055,building,amazon
996899488,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD100,Amazon IAD100,214611.0,-77.506642396707,38.73459785381264,building,amazon
1000784035,Virginia,VA,51,Prince William County,153,Amazon Web Services,,Amazon Web Services,112502.0,-77.53338365008187,38.74305258344758,building,amazon
1010260675,Texas,TX,48,Medina County,325,Microsoft,,Microsoft TRP3 (SAT46),228897.0,-98.806374449939,29.4129769887884,building,microsoft
1010260676,Texas,TX,48,Bexar County,29,Microsoft,,Microsoft,228882.0,-98.80331595094908,29.41579676372189,building,microsoft
1010260677,Texas,TX,48,Bexar County,29,Microsoft,,Microsoft,228885.0,-98.8045147999406,29.415795638787,building,microsoft
1015995259,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD601,Amazon IAD601,14469.0,-77.55711533400657,38.77885736291117,building,amazon
1019770124,Illinois,IL,17,DeKalb County,37,Meta Platforms,,DeKalb Meta Data Center,12793294.0,-88.72856898056978,41.88904034750541,campus,meta
1020374277,Ohio,OH,39,Licking County,89,Amazon Web Services,CMH53,Amazon Web Services  CMH53,154029.0,-82.75145548070124,40.09361643944408,building,amazon
1020374278,Ohio,OH,39,Licking County,89,Amazon Web Services,CMH56,Amazon Web Services CMH56,154677.0,-82.75205114610061,40.09653435041937,building,amazon
1020374279,Ohio,OH,39,Licking County,89,Amazon Web Services,CMH59,Amazon Web Services  CMH59,161123.0,-82.74749104888826,40.09404615807959,building,amazon
1020877488,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD162,Amazon Web Services,131476.0,-77.4712911922763,38.9958476154284,building,amazon
1020877489,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD161,Amazon Web Services,131482.0,-77.47326247561796,38.99660796472238,building,amazon
1024051963,Utah,UT,49,Utah County,49,Meta,,Meta Eagle Mountain Data Center,344790.0,-112.01507681579746,40.26828850505122,building,meta
1024051997,Utah,UT,49,Utah County,49,Meta,,Meta Eagle Mountain Data Center,626371.0,-112.01512736677896,40.2655639892377,building,meta
1027471509,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX66,Amazon Web Services us-west-2,211938.0,-119.60703845354756,45.84666781437448,building,amazon
1027471510,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX68,Amazon Web Services us-west-2,221562.0,-119.60906254768788,45.846753781437606,building,amazon
1030970564,Virginia,VA,51,Henrico County,87,Meta,,Meta Henrico Data Center,327920.0,-77.23380499305182,37.48196326360026,building,meta
1035123473,Utah,UT,49,Utah County,49,Meta,,Meta Eagle Mountain Data Center,628165.0,-112.01505471830352,40.27233431054834,building,meta
1037871048,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD601,Amazon IAD601,14384.0,-77.43777001853674,39.015262930158144,building,amazon
1054387470,Georgia,GA,13,Newton County,217,Meta,,Meta Stanton Springs Data Center,9032398.0,-83.70034219452744,33.60076107577663,campus,meta
1054387471,Georgia,GA,13,Newton County,217,Meta,,,660258.0,-83.70541734238208,33.6013709927818,building,meta
1057230915,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX93,Amazon PDX93,213828.0,-119.68986643174064,45.83654228757941,building,amazon
1059030596,Virginia,VA,51,Prince William County,153,Amazon Web Services,,Amazon Web Services,111697.0,-77.53332238839505,38.74428601144499,building,amazon
1059037050,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD132,COPT Innovation Park Data Center,149206.0,-77.53062487747106,38.74388634728904,building,amazon
1059037051,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD133,COPT Data Center Bldg 2,104114.0,-77.5291961000727,38.74405494832178,building,amazon
