string_id,gid_1,gid_0,name_0,name_1,area_km2,bws_raw,bws_score,bws_cat,bws_label
725582-USA.23_1-1287,USA.23_1,USA,United States,Michigan,485.318260951,0.0007844025105357,0.0,0.0,Low (<10%)
725582-USA.23_1-844,USA.23_1,USA,United States,Michigan,5280.18299956,0.0007844025105357,0.0,0.0,Low (<10%)
725583-USA.23_1-1287,USA.23_1,USA,United States,Michigan,6633.98800543,0.2276014325816973,2.1865096383650835,2.0,Medium - High (20-40%)
725583-USA.23_1-844,USA.23_1,USA,United States,Michigan,2307.94156659,0.2276014325816973,2.1865096383650835,2.0,Medium - High (20-40%)
725584-USA.23_1-1287,USA.23_1,USA,United States,Michigan,2009.98361162,0.1450941329700748,1.5369891837319662,1.0,Low - Medium (10-20%)
725584-USA.23_1-844,USA.23_1,USA,United States,Michigan,608.861850364,0.1450941329700748,1.5369891837319662,1.0,Low - Medium (10-20%)
725586-USA.23_1-1287,USA.23_1,USA,United States,Michigan,4609.20053906,0.9783404264102558,4.290336557238984,4.0,Extremely High (>80%)
725586-USA.23_1-844,USA.23_1,USA,United States,Michigan,1863.38863925,0.9783404264102558,4.290336557238984,4.0,Extremely High (>80%)
725587-USA.23_1-1287,USA.23_1,USA,United States,Michigan,372.910267106,0.2632718752960907,2.3965534099595014,2.0,Medium - High (20-40%)
725588-USA.23_1-1287,USA.23_1,USA,United States,Michigan,2600.40436046,0.4642455516386887,3.214888086445994,3.0,High (40-80%)
725588-USA.23_1-1294,USA.23_1,USA,United States,Michigan,855.887858526,0.4642455516386887,3.214888086445994,3.0,High (40-80%)
725589-USA.23_1-1287,USA.23_1,USA,United States,Michigan,490.672452341,0.860896658072596,4.105840067082921,4.0,Extremely High (>80%)
725589-USA.23_1-1294,USA.23_1,USA,United States,Michigan,1479.91787091,0.860896658072596,4.105840067082921,4.0,Extremely High (>80%)
725590-USA.23_1-844,USA.23_1,USA,United States,Michigan,1523.71850983,0.0004911629464784,0.0,0.0,Low (<10%)
725601-USA.23_1-844,USA.23_1,USA,United States,Michigan,55.7505776031,0.0,0.0,0.0,Low (<10%)
725603-USA.23_1-844,USA.23_1,USA,United States,Michigan,0.22243266722,0.0102531192504924,0.0,0.0,Low (<10%)
725701-USA.23_1-844,USA.23_1,USA,United States,Michigan,1401.18737591,0.3587314929230851,2.84290440459165,2.0,Medium - High (20-40%)
725702-USA.23_1-844,USA.23_1,USA,United States,Michigan,515.146631139,2.3370664804417154e-06,0.0,0.0,Low (<10%)
725703-USA.23_1-844,USA.23_1,USA,United States,Michigan,1189.14600874,1.276223662018632e-05,0.0,0.0,Low (<10%)
725704-USA.23_1-844,USA.23_1,USA,United States,Michigan,4713.46827723,0.0002225077869038,0.0,0.0,Low (<10%)
725705-USA.23_1-844,USA.23_1,USA,United States,Michigan,3663.89299952,0.0067739549706089,0.0,0.0,Low (<10%)
725706-USA.23_1-844,USA.23_1,USA,United States,Michigan,94.24244535,0.0005667497461959,0.0,0.0,Low (<10%)
725707-USA.23_1-844,USA.23_1,USA,United States,Michigan,1133.90709365,0.0252361383948355,0.0,0.0,Low (<10%)
725708-USA.23_1-844,USA.23_1,USA,United States,Michigan,239.045955444,3.000186390770437e-05,0.0,0.0,Low (<10%)
725709-USA.23_1-844,USA.23_1,USA,United States,Michigan,2201.24469591,0.000124140986248,0.0,0.0,Low (<10%)
725810-USA.23_1-1287,USA.23_1,USA,United States,Michigan,251.754875428,0.0392506544217438,0.0,0.0,Low (<10%)
725810-USA.23_1-844,USA.23_1,USA,United States,Michigan,26501.7745069,0.0392506544217438,0.0,0.0,Low (<10%)
725821-USA.23_1-844,USA.23_1,USA,United States,Michigan,800.341793541,1.855015275669597e-05,0.0,0.0,Low (<10%)
725822-USA.23_1-844,USA.23_1,USA,United States,Michigan,7708.39901935,0.0053715074850942,0.0,0.0,Low (<10%)
725823-USA.23_1-1216,USA.23_1,USA,United States,Michigan,26.6358840373,0.00074008180865,0.0,0.0,Low (<10%)
725823-USA.23_1-844,USA.23_1,USA,United States,Michigan,2609.40652985,0.00074008180865,0.0,0.0,Low (<10%)
725823-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,1016.59353841,0.00074008180865,0.0,0.0,Low (<10%)
725824-USA.23_1-1216,USA.23_1,USA,United States,Michigan,109.092692634,0.0254101357921099,0.0,0.0,Low (<10%)
725824-USA.23_1-844,USA.23_1,USA,United States,Michigan,6498.47705344,0.0254101357921099,0.0,0.0,Low (<10%)
725824-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,175.496256836,0.0254101357921099,0.0,0.0,Low (<10%)
725824-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,3810.10103115,0.0254101357921099,0.0,0.0,Low (<10%)
725825-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,152.297169872,0.0015436591864036,0.0,0.0,Low (<10%)
725825-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,461.188118172,0.0015436591864036,0.0,0.0,Low (<10%)
725825-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,58.4263596064,0.0015436591864036,0.0,0.0,Low (<10%)
725826-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,1322.73764912,0.3294296268552394,2.719970307933348,2.0,Medium - High (20-40%)
725826-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,1681.66107479,0.3294296268552394,2.719970307933348,2.0,Medium - High (20-40%)
725827-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,6101.62953954,0.0430963064827614,0.0,0.0,Low (<10%)
725827-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,1211.94036611,0.0430963064827614,0.0,0.0,Low (<10%)
725827-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,803.475789694,0.0430963064827614,0.0,0.0,Low (<10%)
725828-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,3829.88273763,0.9628434426021696,4.267301236341685,4.0,Extremely High (>80%)
725829-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,6196.46273896,0.6771901854732844,3.759561064385907,3.0,High (40-80%)
725829-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,3436.83831198,0.6771901854732844,3.759561064385907,3.0,High (40-80%)
725831-USA.23_1-1287,USA.23_1,USA,United States,Michigan,4.78230201378,0.1543074132971314,1.6258073740933154,1.0,Low - Medium (10-20%)
725831-USA.23_1-844,USA.23_1,USA,United States,Michigan,7627.71912483,0.1543074132971314,1.6258073740933154,1.0,Low - Medium (10-20%)
725831-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,757.708003754,0.1543074132971314,1.6258073740933154,1.0,Low - Medium (10-20%)
725831-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,4140.58126311,0.1543074132971314,1.6258073740933154,1.0,Low - Medium (10-20%)
725832-USA.23_1-1287,USA.23_1,USA,United States,Michigan,3753.5134439,0.0015257503675479,0.0,0.0,Low (<10%)
725832-USA.23_1-1294,USA.23_1,USA,United States,Michigan,1.16384274434,0.0015257503675479,0.0,0.0,Low (<10%)
725832-USA.23_1-844,USA.23_1,USA,United States,Michigan,1870.12950132,0.0015257503675479,0.0,0.0,Low (<10%)
725833-USA.23_1-1287,USA.23_1,USA,United States,Michigan,406.115511152,0.4061214930878827,3.021911380748505,3.0,High (40-80%)
725833-USA.23_1-1294,USA.23_1,USA,United States,Michigan,74.800844825,0.4061214930878827,3.021911380748505,3.0,High (40-80%)
725833-USA.23_1-844,USA.23_1,USA,United States,Michigan,1674.31731239,0.4061214930878827,3.021911380748505,3.0,High (40-80%)
725833-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,1619.84511648,0.4061214930878827,3.021911380748505,3.0,High (40-80%)
725833-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,710.144042148,0.4061214930878827,3.021911380748505,3.0,High (40-80%)
725834-USA.23_1-844,USA.23_1,USA,United States,Michigan,26.1316716421,0.0017685517063304,0.0,0.0,Low (<10%)
725834-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,300.36314387,0.0017685517063304,0.0,0.0,Low (<10%)
725834-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,2691.64169781,0.0017685517063304,0.0,0.0,Low (<10%)
725834-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,163.283961276,0.0017685517063304,0.0,0.0,Low (<10%)
725835-USA.23_1-844,USA.23_1,USA,United States,Michigan,52.8627935288,0.0,0.0,0.0,Low (<10%)
725836-USA.23_1-1287,USA.23_1,USA,United States,Michigan,1715.52446586,0.0013633880004702,0.0,0.0,Low (<10%)
725836-USA.23_1-1294,USA.23_1,USA,United States,Michigan,1509.69562111,0.0013633880004702,0.0,0.0,Low (<10%)
725836-USA.23_1-844,USA.23_1,USA,United States,Michigan,581.348569756,0.0013633880004702,0.0,0.0,Low (<10%)
725837-USA.23_1-1287,USA.23_1,USA,United States,Michigan,620.22561673,0.2461426350674253,2.2994945727612315,2.0,Medium - High (20-40%)
725837-USA.23_1-844,USA.23_1,USA,United States,Michigan,971.638941074,0.2461426350674253,2.2994945727612315,2.0,Medium - High (20-40%)
725837-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,179.604811315,0.2461426350674253,2.2994945727612315,2.0,Medium - High (20-40%)
725837-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,3369.66814041,0.2461426350674253,2.2994945727612315,2.0,Medium - High (20-40%)
725837-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,144.166407396,0.2461426350674253,2.2994945727612315,2.0,Medium - High (20-40%)
725838-USA.23_1-1287,USA.23_1,USA,United States,Michigan,907.329299584,0.0011796547390197,0.0,0.0,Low (<10%)
725838-USA.23_1-1294,USA.23_1,USA,United States,Michigan,890.746204528,0.0011796547390197,0.0,0.0,Low (<10%)
725838-USA.23_1-844,USA.23_1,USA,United States,Michigan,267.618392046,0.0011796547390197,0.0,0.0,Low (<10%)
725839-USA.23_1-1280,USA.23_1,USA,United States,Michigan,10.9798144312,0.2418441567279227,2.274077680800156,2.0,Medium - High (20-40%)
725839-USA.23_1-844,USA.23_1,USA,United States,Michigan,197.872944422,0.2418441567279227,2.274077680800156,2.0,Medium - High (20-40%)
725839-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,1108.49441477,0.2418441567279227,2.274077680800156,2.0,Medium - High (20-40%)
725840-USA.23_1-1287,USA.23_1,USA,United States,Michigan,3555.20908376,0.0361304423109431,0.0,0.0,Low (<10%)
725840-USA.23_1-1294,USA.23_1,USA,United States,Michigan,3939.8355754,0.0361304423109431,0.0,0.0,Low (<10%)
725840-USA.23_1-844,USA.23_1,USA,United States,Michigan,406.73451068,0.0361304423109431,0.0,0.0,Low (<10%)
725850-USA.23_1-1280,USA.23_1,USA,United States,Michigan,0.25997576078,0.0,0.0,0.0,Low (<10%)
725850-USA.23_1-844,USA.23_1,USA,United States,Michigan,144.017886414,0.0,0.0,0.0,Low (<10%)
725850-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,5.48159119019,0.0,0.0,0.0,Low (<10%)
725850-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,0.65719950634,0.0,0.0,0.0,Low (<10%)
725860-USA.23_1-1287,USA.23_1,USA,United States,Michigan,12540.838929,0.0125670100961356,0.0,0.0,Low (<10%)
725860-USA.23_1-1294,USA.23_1,USA,United States,Michigan,2678.87252191,0.0125670100961356,0.0,0.0,Low (<10%)
725860-USA.23_1-844,USA.23_1,USA,United States,Michigan,883.474103211,0.0125670100961356,0.0,0.0,Low (<10%)
725870-USA.14_1-1280,USA.14_1,USA,United States,Illinois,784.745047671,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%)
725870-USA.14_1-844,USA.14_1,USA,United States,Illinois,234.29809854,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%)
725870-USA.23_1-1287,USA.23_1,USA,United States,Michigan,3393.76017398,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%)
725870-USA.23_1-844,USA.23_1,USA,United States,Michigan,10455.7332487,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%)
725870-USA.50_1-1216,USA.50_1,USA,United States,Wisconsin,326.668879623,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%)
725870-USA.50_1-1280,USA.50_1,USA,United States,Wisconsin,8474.00807026,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%)
725870-USA.50_1-844,USA.50_1,USA,United States,Wisconsin,1257.04408023,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%)
725880-USA.14_1-1216,USA.14_1,USA,United States,Illinois,237.388167272,0.5400128749200278,3.4329938042424906,3.0,High (40-80%)
725880-USA.14_1-1280,USA.14_1,USA,United States,Illinois,3006.5956778,0.5400128749200278,3.4329938042424906,3.0,High (40-80%)
